date,price,standardized_price,Star
2024-12-19,0.2692606404347994,0.3067192525344333,3
2024-12-20,0.3285457830022997,0.3835749719642735,3
2024-12-21,0.6445999874331467,0.7932994359427828,3
2024-12-22,0.1895266489927614,0.2033541763972985,3
2024-12-23,0.17888436719085,0.1895577986061893,3
2024-12-24,0.2784115589499239,0.3185822656852067,3
2024-12-25,0.2829230295397358,0.3244308190132481,3
2024-12-26,0.2077586238078312,0.2269896351371254,3
2024-12-27,0.2986550802171682,0.3448254410139311,3
2024-12-28,0.5955908163942265,0.7297652191772968,3
2024-12-29,0.6399971502637066,0.7873324373533309,3
2024-12-30,0.466350579604845,0.5622215320482394,3
2024-12-31,0.8040451464899359,1.0,3
2025-01-01,0.3635684285509566,0.428977420257514,3
2025-01-02,0.261227611931284,0.2963054429676407,3
2025-01-03,0.1913832496251467,0.2057610252487355,3
2025-01-04,0.1526974830568237,0.1556098019819936,3
2025-01-05,0.0326628341869425,0.0,3
2025-01-06,0.0338105391620042,0.0014878549284272,3
2025-01-07,0.0439250452381252,0.0146000379728164,3
2025-01-08,0.0693041809123457,0.0475008904676708,3
2025-01-09,0.0921899249060476,0.0771693747311686,3
2025-01-10,0.1452829460434513,0.1459977887233074,3
2025-01-11,0.353780157351388,0.416288159636091,3
2025-01-12,0.2643622466882441,0.3003691020728146,3
2025-01-13,0.0999289715587471,0.0872020738600795,3
2025-01-14,0.0988312736076228,0.085779046739005,3
2025-01-15,0.0999238297599751,0.0871954081656631,3
2025-01-17,0.192511129716883,0.2072231797131916,3
2025-01-18,0.3501843138414666,0.4116266014792984,3
2025-01-19,0.1251083861721536,0.1198440131576404,3
2025-01-20,0.125414034122782,0.1202402472243976,3
2025-01-21,0.1296033096981164,0.125671115301768,3
2025-01-22,0.148592344311103,0.1502880067058423,3
2025-01-23,0.1707986188790302,0.1790756444488306,3
2025-01-24,0.1798974206374665,0.1908710947894942,3
2025-01-25,0.3699422116252361,0.4372402271337181,3
2025-01-26,0.1104579294859782,0.1008515415226144,3
2025-01-27,0.122377522919828,0.1163037929467667,3
2025-01-28,0.1423520350370141,0.142198231798432,3
2025-01-29,0.1741737976553945,0.1834511385748075,3
2025-01-30,0.1836614906035446,0.1957507373558896,3
2025-01-31,0.2225683295337521,0.246188553092226,3
2025-02-01,0.3866769548966567,0.4589347137773882,3
2025-02-02,0.1113040503997474,0.1019484307048969,3
2025-02-03,0.1110458387533563,0.1016136918312245,3
2025-02-04,0.126416528618608,0.121539855058071,3
2025-02-05,0.1308076161358967,0.1272323468967534,3
2025-02-06,0.1595619119050314,0.1645086692994379,3
2025-02-07,0.1800743061719658,0.1911004046034194,3
2025-02-08,0.3727014839379576,0.4408172761128212,3
2025-02-09,0.1196705167238094,0.1127945004042182,3
2025-02-10,0.1143872966541146,0.1059454710896602,3
2025-02-11,0.1102870243867976,0.1006299845897488,3
2025-02-12,0.1323643741271071,0.1292504875338682,3
2025-02-13,0.1524701177569548,0.1553150515109981,3
2025-02-14,0.1910209474345041,0.2052913460963046,3
2025-02-15,0.3613316712645755,0.426077746190963,3
2025-02-16,0.0972262020235542,0.0836982736146167,3
2025-02-17,0.0943181750885019,0.0799283830056782,3
2025-02-18,0.1226274190767324,0.116627751835788,3
2025-02-19,0.1356147914595895,0.1334642441635454,3
2025-02-20,0.1464251072453923,0.1474784568482103,3
2025-02-21,0.1955105652824283,0.2111115700971898,3
2025-02-22,0.3896210938901256,0.4627514191211743,3
2025-02-23,0.3381826954993168,0.3960680150938803,3
2025-02-24,0.1279966249723509,0.1235882509423705,3
2025-02-25,0.1272524235027002,0.1226234874810086,3
2025-02-26,0.1287204806551082,0.1245266386539012,3
2025-02-27,0.1518413428212196,0.1544999240110455,3
2025-02-28,0.1805545202706806,0.1917229416917811,3
2025-03-01,0.4189817645279253,0.5008138301585006,3
2025-03-02,0.1652754933165379,0.1719156078827824,3
2025-03-03,0.1311104156087478,0.1276248882708834,3
2025-03-04,0.1503087238990058,0.152513076636184,3
2025-03-05,0.1696577447338239,0.1775966448308589,3
2025-03-06,0.1871343134089364,0.2002528146656785,3
2025-03-07,0.2274287455994962,0.2524894702745673,3
2025-03-08,0.3877384372121563,0.4603107918888119,3
2025-03-09,0.1511823096107029,0.1536455704693508,3
2025-03-10,0.1642502349206502,0.1705864895201551,3
2025-03-11,0.159970127673022,0.1650378696213532,3
2025-03-12,0.1919696259291922,0.2065211882634859,3
2025-03-13,0.1942719441150439,0.20950585377776,3
2025-03-14,0.2362320689942756,0.2639018701369607,3
2025-03-15,0.4255473229002343,0.5093252495514436,3
2025-03-16,0.1803531754209296,0.1914619234566729,3
2025-03-17,0.2073197450832517,0.2264206841544808,3
2025-03-18,0.2940664789101455,0.3388768974268695,3
2025-03-19,0.2726319612393855,0.3110897452859728,3
2025-03-20,0.2541189051535025,0.2870899000852039,3
2025-03-21,0.3267128362019929,0.3811987873265489,3
2025-03-22,0.4753391483850714,0.5738740792182552,3
2025-03-23,0.30476071505484,0.3527406274789191,3
2025-03-24,0.3233472019549688,0.3768356664805759,3
2025-03-25,0.3360854678268387,0.3933492235957751,3
2025-03-26,0.3627536786893695,0.4279211996927013,3
2025-03-27,0.3634562647740081,0.4288320140495161,3
2025-03-28,0.441428087266065,0.529912660116275,3
2025-03-29,0.5248481647047417,0.6380562824267513,3
2025-03-30,0.3970069286516972,0.472326223525907,3
2025-03-31,0.4782445626789621,0.5776405828670315,3
2025-04-01,0.4917225054457041,0.5951130379023344,3
2025-04-02,0.4803444821033114,0.5803628638823686,3
