date,price,standardized_price
2024-12-19,0.26926064043479947,0.3067192525344333
2024-12-20,0.3285457830022997,0.3835749719642735
2024-12-21,0.6445999874331467,0.7932994359427828
2024-12-22,0.18952664899276148,0.2033541763972985
2024-12-23,0.17888436719085007,0.18955779860618938
2024-12-24,0.2784115589499239,0.3185822656852067
2024-12-25,0.28292302953973586,0.3244308190132481
2024-12-26,0.20775862380783122,0.22698963513712547
2024-12-27,0.29865508021716825,0.34482544101393114
2024-12-28,0.5955908163942265,0.7297652191772968
2024-12-29,0.6399971502637066,0.7873324373533309
2024-12-30,0.466350579604845,0.5622215320482394
2024-12-31,0.8040451464899359,1.0
2025-01-01,0.36356842855095667,0.428977420257514
2025-01-02,0.261227611931284,0.2963054429676407
2025-01-03,0.19138324962514675,0.2057610252487355
2025-01-04,0.1526974830568237,0.1556098019819936
2025-01-05,0.03266283418694259,0.0
2025-01-06,0.03381053916200422,0.0014878549284272694
2025-01-07,0.04392504523812526,0.014600037972816463
2025-01-08,0.06930418091234578,0.047500890467670885
2025-01-09,0.0921899249060476,0.07716937473116861
2025-01-10,0.14528294604345138,0.14599778872330746
2025-01-11,0.35378015735138807,0.416288159636091
2025-01-12,0.26436224668824415,0.3003691020728146
2025-01-13,0.09992897155874718,0.08720207386007958
2025-01-14,0.09883127360762284,0.08577904673900505
2025-01-15,0.09992382975997516,0.08719540816566318
2025-01-17,0.19251112971688308,0.20722317971319165
2025-01-18,0.3501843138414666,0.41162660147929847
2025-01-19,0.12510838617215364,0.11984401315764046
2025-01-20,0.12541403412278204,0.12024024722439769
2025-01-21,0.12960330969811648,0.12567111530176803
2025-01-22,0.148592344311103,0.1502880067058423
2025-01-23,0.17079861887903028,0.17907564444883067
2025-01-24,0.1798974206374665,0.19087109478949427
2025-01-25,0.3699422116252361,0.43724022713371813
2025-01-26,0.11045792948597825,0.10085154152261444
2025-01-27,0.12237752291982806,0.11630379294676674
2025-01-28,0.14235203503701413,0.14219823179843205
2025-01-29,0.1741737976553945,0.18345113857480758
2025-01-30,0.18366149060354467,0.19575073735588966
2025-01-31,0.22256832953375216,0.24618855309222606
2025-02-01,0.38667695489665677,0.45893471377738826
2025-02-02,0.11130405039974746,0.10194843070489693
2025-02-03,0.11104583875335633,0.10161369183122451
2025-02-04,0.12641652861860805,0.121539855058071
2025-02-05,0.13080761613589678,0.1272323468967534
2025-02-06,0.15956191190503144,0.16450866929943792
2025-02-07,0.18007430617196588,0.19110040460341945
2025-02-08,0.37270148393795766,0.4408172761128212
2025-02-09,0.1196705167238094,0.11279450040421829
2025-02-10,0.11438729665411468,0.10594547108966029
2025-02-11,0.1102870243867976,0.10062998458974881
2025-02-12,0.1323643741271071,0.12925048753386828
2025-02-13,0.1524701177569548,0.1553150515109981
2025-02-14,0.19102094743450415,0.20529134609630467
2025-02-15,0.36133167126457555,0.426077746190963
2025-02-16,0.09722620202355424,0.08369827361461671
2025-02-17,0.09431817508850196,0.07992838300567826
2025-02-18,0.1226274190767324,0.116627751835788
2025-02-19,0.13561479145958955,0.13346424416354544
2025-02-20,0.1464251072453923,0.14747845684821034
2025-02-21,0.1955105652824283,0.2111115700971898
2025-02-22,0.38962109389012567,0.46275141912117435
2025-02-23,0.33818269549931684,0.3960680150938803
2025-02-24,0.12799662497235098,0.12358825094237055
2025-02-25,0.1272524235027002,0.12262348748100865
2025-02-26,0.12872048065510822,0.12452663865390123
2025-02-27,0.15184134282121964,0.15449992401104554
2025-02-28,0.18055452027068067,0.1917229416917811
2025-03-01,0.4189817645279253,0.5008138301585006
2025-03-02,0.16527549331653799,0.1719156078827824
2025-03-03,0.13111041560874784,0.12762488827088347
2025-03-04,0.15030872389900587,0.15251307663618408
2025-03-05,0.16965774473382397,0.1775966448308589
2025-03-06,0.18713431340893644,0.2002528146656785
2025-03-07,0.22742874559949622,0.2524894702745673
2025-03-08,0.38773843721215634,0.46031079188881197
2025-03-09,0.1511823096107029,0.1536455704693508
2025-03-10,0.16425023492065022,0.17058648952015518
2025-03-11,0.159970127673022,0.16503786962135325
2025-03-12,0.1919696259291922,0.20652118826348598
2025-03-13,0.19427194411504395,0.20950585377776007
2025-03-14,0.2362320689942756,0.2639018701369607
2025-03-15,0.4255473229002343,0.5093252495514436
2025-03-16,0.18035317542092966,0.19146192345667293
2025-03-17,0.20731974508325174,0.22642068415448083
2025-03-18,0.2940664789101455,0.3388768974268695
2025-03-19,0.27263196123938555,0.31108974528597283
2025-03-20,0.2541189051535025,0.2870899000852039
2025-03-21,0.3267128362019929,0.3811987873265489
2025-03-22,0.4753391483850714,0.5738740792182552
2025-03-23,0.30476071505484004,0.35274062747891916
2025-03-24,0.32334720195496885,0.3768356664805759
2025-03-25,0.33608546782683874,0.3933492235957751
2025-03-26,0.36275367868936953,0.42792119969270137
2025-03-27,0.3634562647740081,0.42883201404951615
2025-03-28,0.441428087266065,0.529912660116275
2025-03-29,0.5248481647047417,0.6380562824267513
2025-03-30,0.39700692865169723,0.47232622352590703
2025-03-31,0.47824456267896215,0.5776405828670315
2025-04-01,0.49172250544570417,0.5951130379023344
2025-04-02,0.48034448210331143,0.5803628638823686
2025-04-03,0.49562419340654607,0.6001710848637604
2025-04-04,0.49816077353432014,0.6034594414767102
2025-04-05,0.580491545555312,0.7101909165285427
2025-04-06,0.3715253492775572,0.43929256567852426
2025-04-07,0.40201019652740444,0.47881233008540247
2025-04-08,0.40674956753241104,0.48495632759405294
2025-04-09,0.41967932647854805,0.5017181313584336
2025-04-10,0.40257542121172707,0.47954507268956603
