Hotel Name,rate,date,price
Hotel Gracery Tamachi,3.5,"Sunday, December 1, 2024",NaN
Hotel Gracery Tamachi,3.5,"Monday, December 2, 2024",NaN
Hotel Gracery Tamachi,3.5,"Tuesday, December 3, 2024",NaN
Hotel Gracery Tamachi,3.5,"Wednesday, December 4, 2024",NaN
Hotel Gracery Tamachi,3.5,"Thursday, December 5, 2024",NaN
Hotel Gracery Tamachi,3.5,"Friday, December 6, 2024",NaN
Hotel Gracery Tamachi,3.5,"Saturday, December 7, 2024",NaN
Hotel Gracery Tamachi,3.5,"Sunday, December 8, 2024",NaN
Hotel Gracery Tamachi,3.5,"Monday, December 9, 2024",NaN
Hotel Gracery Tamachi,3.5,"Tuesday, December 10, 2024",NaN
Hotel Gracery Tamachi,3.5,"Wednesday, December 11, 2024",NaN
Hotel Gracery Tamachi,3.5,"Thursday, December 12, 2024",NaN
Hotel Gracery Tamachi,3.5,"Friday, December 13, 2024",NaN
Hotel Gracery Tamachi,3.5,"Saturday, December 14, 2024",NaN
Hotel Gracery Tamachi,3.5,"Sunday, December 15, 2024",NaN
Hotel Gracery Tamachi,3.5,"Monday, December 16, 2024",NaN
Hotel Gracery Tamachi,3.5,"Tuesday, December 17, 2024",NaN
Hotel Gracery Tamachi,3.5,"Wednesday, December 18, 2024",NaN
Hotel Gracery Tamachi,3.5,"Thursday, December 19, 2024","4,055"
Hotel Gracery Tamachi,3.5,"Friday, December 20, 2024","4,201"
Hotel Gracery Tamachi,3.5,"Saturday, December 21, 2024","4,688"
Hotel Gracery Tamachi,3.5,"Sunday, December 22, 2024","2,189"
Hotel Gracery Tamachi,3.5,"Monday, December 23, 2024","2,397"
Hotel Gracery Tamachi,3.5,"Tuesday, December 24, 2024","3,378"
Hotel Gracery Tamachi,3.5,"Wednesday, December 25, 2024","3,414"
Hotel Gracery Tamachi,3.5,"Thursday, December 26, 2024","2,500"
Hotel Gracery Tamachi,3.5,"Friday, December 27, 2024","3,378"
Hotel Gracery Tamachi,3.5,"Saturday, December 28, 2024","4,224"
Hotel Gracery Tamachi,3.5,"Sunday, December 29, 2024","4,201"
Hotel Gracery Tamachi,3.5,"Monday, December 30, 2024","4,305"
Hotel Gracery Tamachi,3.5,"Tuesday, December 31, 2024","4,392"
Hotel Gracery Tamachi,3.5,"Wednesday, January 1, 2025","3,307"
Hotel Gracery Tamachi,3.5,"Thursday, January 2, 2025","3,157"
Hotel Gracery Tamachi,3.5,"Friday, January 3, 2025","1,934"
Hotel Gracery Tamachi,3.5,"Saturday, January 4, 2025","1,946"
Hotel Gracery Tamachi,3.5,"Sunday, January 5, 2025","1,915"
Hotel Gracery Tamachi,3.5,"Monday, January 6, 2025","1,924"
Hotel Gracery Tamachi,3.5,"Tuesday, January 7, 2025","1,924"
Hotel Gracery Tamachi,3.5,"Wednesday, January 8, 2025","1,915"
Hotel Gracery Tamachi,3.5,"Thursday, January 9, 2025","2,661"
Hotel Gracery Tamachi,3.5,"Friday, January 10, 2025","1,944"
Hotel Gracery Tamachi,3.5,"Saturday, January 11, 2025","3,604"
Hotel Gracery Tamachi,3.5,"Sunday, January 12, 2025","3,606"
Hotel Gracery Tamachi,3.5,"Monday, January 13, 2025","1,915"
Hotel Gracery Tamachi,3.5,"Tuesday, January 14, 2025","2,661"
Hotel Gracery Tamachi,3.5,"Wednesday, January 15, 2025, departure date.","2,725"
Hotel Gracery Tamachi,3.5,"Thursday, January 16, 2025, return date.",NaN
Hotel Gracery Tamachi,3.5,"Friday, January 17, 2025","2,660"
Hotel Gracery Tamachi,3.5,"Saturday, January 18, 2025","3,845"
Hotel Gracery Tamachi,3.5,"Sunday, January 19, 2025","1,915"
Hotel Gracery Tamachi,3.5,"Monday, January 20, 2025","2,189"
Hotel Gracery Tamachi,3.5,"Tuesday, January 21, 2025","2,661"
Hotel Gracery Tamachi,3.5,"Wednesday, January 22, 2025","2,661"
Hotel Gracery Tamachi,3.5,"Thursday, January 23, 2025","4,201"
Hotel Gracery Tamachi,3.5,"Friday, January 24, 2025","2,661"
Hotel Gracery Tamachi,3.5,"Saturday, January 25, 2025","3,845"
Hotel Gracery Tamachi,3.5,"Sunday, January 26, 2025","1,915"
Hotel Gracery Tamachi,3.5,"Monday, January 27, 2025","1,914"
Hotel Gracery Tamachi,3.5,"Tuesday, January 28, 2025","2,661"
Hotel Gracery Tamachi,3.5,"Wednesday, January 29, 2025","2,725"
Hotel Gracery Tamachi,3.5,"Thursday, January 30, 2025","2,719"
Hotel Gracery Tamachi,3.5,"Friday, January 31, 2025","2,660"
Hotel Gracery Tamachi,3.5,"Saturday, February 1, 2025","4,062"
Hotel Gracery Tamachi,3.5,"Sunday, February 2, 2025","1,931"
Hotel Gracery Tamachi,3.5,"Monday, February 3, 2025","1,934"
Hotel Gracery Tamachi,3.5,"Tuesday, February 4, 2025","2,661"
Hotel Gracery Tamachi,3.5,"Wednesday, February 5, 2025","2,661"
Hotel Gracery Tamachi,3.5,"Thursday, February 6, 2025","2,707"
Hotel Gracery Tamachi,3.5,"Friday, February 7, 2025","2,661"
Hotel Gracery Tamachi,3.5,"Saturday, February 8, 2025","4,048"
Hotel Gracery Tamachi,3.5,"Sunday, February 9, 2025","1,931"
Hotel Gracery Tamachi,3.5,"Monday, February 10, 2025","1,915"
Hotel Gracery Tamachi,3.5,"Tuesday, February 11, 2025","1,915"
Hotel Gracery Tamachi,3.5,"Wednesday, February 12, 2025","2,681"
Hotel Gracery Tamachi,3.5,"Thursday, February 13, 2025","3,501"
Hotel Gracery Tamachi,3.5,"Friday, February 14, 2025","2,660"
Hotel Gracery Tamachi,3.5,"Saturday, February 15, 2025","3,603"
Hotel Gracery Tamachi,3.5,"Sunday, February 16, 2025","1,913"
Hotel Gracery Tamachi,3.5,"Monday, February 17, 2025","1,913"
Hotel Gracery Tamachi,3.5,"Tuesday, February 18, 2025","2,660"
Hotel Gracery Tamachi,3.5,"Wednesday, February 19, 2025","2,659"
Hotel Gracery Tamachi,3.5,"Thursday, February 20, 2025","2,724"
Hotel Gracery Tamachi,3.5,"Friday, February 21, 2025","2,661"
Hotel Gracery Tamachi,3.5,"Saturday, February 22, 2025","3,604"
Hotel Gracery Tamachi,3.5,"Sunday, February 23, 2025","3,604"
Hotel Gracery Tamachi,3.5,"Monday, February 24, 2025","1,913"
Hotel Gracery Tamachi,3.5,"Tuesday, February 25, 2025","2,654"
Hotel Gracery Tamachi,3.5,"Wednesday, February 26, 2025","2,659"
Hotel Gracery Tamachi,3.5,"Thursday, February 27, 2025","2,659"
Hotel Gracery Tamachi,3.5,"Friday, February 28, 2025","2,659"
Hotel Gracery Tamachi,3.5,"Saturday, March 1, 2025","3,604"
Hotel Gracery Tamachi,3.5,"Sunday, March 2, 2025","1,913"
Hotel Gracery Tamachi,3.5,"Monday, March 3, 2025","1,913"
Hotel Gracery Tamachi,3.5,"Tuesday, March 4, 2025","2,659"
Hotel Gracery Tamachi,3.5,"Wednesday, March 5, 2025","2,659"
Hotel Gracery Tamachi,3.5,"Thursday, March 6, 2025","2,659"
Hotel Gracery Tamachi,3.5,"Friday, March 7, 2025","2,661"
Hotel Gracery Tamachi,3.5,"Saturday, March 8, 2025","3,604"
Hotel Gracery Tamachi,3.5,"Sunday, March 9, 2025","1,913"
Hotel Gracery Tamachi,3.5,"Monday, March 10, 2025","1,913"
Hotel Gracery Tamachi,3.5,"Tuesday, March 11, 2025","2,659"
Hotel Gracery Tamachi,3.5,"Wednesday, March 12, 2025","2,661"
Hotel Gracery Tamachi,3.5,"Thursday, March 13, 2025","2,660"
Hotel Gracery Tamachi,3.5,"Friday, March 14, 2025","2,659"
Hotel Gracery Tamachi,3.5,"Saturday, March 15, 2025","3,604"
Hotel Gracery Tamachi,3.5,"Sunday, March 16, 2025","2,659"
