Hotel Name,rate,date,price
Sotetsu Fresa Inn Higashi-Shinjuku Ekimae,4.6,"Sunday, December 1, 2024",NaN
Sotetsu Fresa Inn Higashi-Shinjuku Ekimae,4.6,"Monday, December 2, 2024",NaN
Sotetsu Fresa Inn Higashi-Shinjuku Ekimae,4.6,"Tuesday, December 3, 2024",NaN
Sotetsu Fresa Inn Higashi-Shinjuku Ekimae,4.6,"Wednesday, December 4, 2024",NaN
Sotetsu Fresa Inn Higashi-Shinjuku Ekimae,4.6,"Thursday, December 5, 2024",NaN
Sotetsu Fresa Inn Higashi-Shinjuku Ekimae,4.6,"Friday, December 6, 2024",NaN
Sotetsu Fresa Inn Higashi-Shinjuku Ekimae,4.6,"Saturday, December 7, 2024",NaN
Sotetsu Fresa Inn Higashi-Shinjuku Ekimae,4.6,"Sunday, December 8, 2024",NaN
Sotetsu Fresa Inn Higashi-Shinjuku Ekimae,4.6,"Monday, December 9, 2024",NaN
Sotetsu Fresa Inn Higashi-Shinjuku Ekimae,4.6,"Tuesday, December 10, 2024",NaN
Sotetsu Fresa Inn Higashi-Shinjuku Ekimae,4.6,"Wednesday, December 11, 2024",NaN
Sotetsu Fresa Inn Higashi-Shinjuku Ekimae,4.6,"Thursday, December 12, 2024",NaN
Sotetsu Fresa Inn Higashi-Shinjuku Ekimae,4.6,"Friday, December 13, 2024",NaN
Sotetsu Fresa Inn Higashi-Shinjuku Ekimae,4.6,"Saturday, December 14, 2024",NaN
Sotetsu Fresa Inn Higashi-Shinjuku Ekimae,4.6,"Sunday, December 15, 2024",NaN
Sotetsu Fresa Inn Higashi-Shinjuku Ekimae,4.6,"Monday, December 16, 2024",NaN
Sotetsu Fresa Inn Higashi-Shinjuku Ekimae,4.6,"Tuesday, December 17, 2024",NaN
Sotetsu Fresa Inn Higashi-Shinjuku Ekimae,4.6,"Wednesday, December 18, 2024",NaN
