Hotel Name,rate,date,price
OURS INN HANKYU,3.5,"Sunday, December 1, 2024",NaN
OURS INN HANKYU,3.5,"Monday, December 2, 2024",NaN
OURS INN HANKYU,3.5,"Tuesday, December 3, 2024",NaN
OURS INN HANKYU,3.5,"Wednesday, December 4, 2024",NaN
OURS INN HANKYU,3.5,"Thursday, December 5, 2024",NaN
OURS INN HANKYU,3.5,"Friday, December 6, 2024",NaN
OURS INN HANKYU,3.5,"Saturday, December 7, 2024",NaN
OURS INN HANKYU,3.5,"Sunday, December 8, 2024",NaN
OURS INN HANKYU,3.5,"Monday, December 9, 2024",NaN
OURS INN HANKYU,3.5,"Tuesday, December 10, 2024",NaN
OURS INN HANKYU,3.5,"Wednesday, December 11, 2024",NaN
OURS INN HANKYU,3.5,"Thursday, December 12, 2024",NaN
OURS INN HANKYU,3.5,"Friday, December 13, 2024",NaN
OURS INN HANKYU,3.5,"Saturday, December 14, 2024",NaN
OURS INN HANKYU,3.5,"Sunday, December 15, 2024",NaN
OURS INN HANKYU,3.5,"Monday, December 16, 2024",NaN
OURS INN HANKYU,3.5,"Tuesday, December 17, 2024",NaN
OURS INN HANKYU,3.5,"Wednesday, December 18, 2024",NaN
OURS INN HANKYU,3.5,"Thursday, December 19, 2024","2,916"
OURS INN HANKYU,3.5,"Friday, December 20, 2024","3,603"
OURS INN HANKYU,3.5,"Saturday, December 21, 2024","5,852"
OURS INN HANKYU,3.5,"Sunday, December 22, 2024","2,832"
OURS INN HANKYU,3.5,"Monday, December 23, 2024","2,749"
OURS INN HANKYU,3.5,"Tuesday, December 24, 2024","3,853"
OURS INN HANKYU,3.5,"Wednesday, December 25, 2024","2,937"
OURS INN HANKYU,3.5,"Thursday, December 26, 2024","2,286"
OURS INN HANKYU,3.5,"Friday, December 27, 2024","2,188"
OURS INN HANKYU,3.5,"Saturday, December 28, 2024","5,852"
OURS INN HANKYU,3.5,"Sunday, December 29, 2024","5,852"
OURS INN HANKYU,3.5,"Monday, December 30, 2024","2,776"
OURS INN HANKYU,3.5,"Tuesday, December 31, 2024","6,331"
