Hotel Name,rate,date,price
Cerulean Tower Tokyu Hotel,,"Sunday, December 1, 2024",NaN
Cerulean Tower Tokyu Hotel,,"Monday, December 2, 2024",NaN
Cerulean Tower Tokyu Hotel,,"Tuesday, December 3, 2024",NaN
Cerulean Tower Tokyu Hotel,,"Wednesday, December 4, 2024",NaN
Cerulean Tower Tokyu Hotel,,"Thursday, December 5, 2024",NaN
Cerulean Tower Tokyu Hotel,,"Friday, December 6, 2024",NaN
Cerulean Tower Tokyu Hotel,,"Saturday, December 7, 2024",NaN
Cerulean Tower Tokyu Hotel,,"Sunday, December 8, 2024",NaN
Cerulean Tower Tokyu Hotel,,"Monday, December 9, 2024",NaN
Cerulean Tower Tokyu Hotel,,"Tuesday, December 10, 2024",NaN
Cerulean Tower Tokyu Hotel,,"Wednesday, December 11, 2024",NaN
Cerulean Tower Tokyu Hotel,,"Thursday, December 12, 2024",NaN
Cerulean Tower Tokyu Hotel,,"Friday, December 13, 2024",NaN
Cerulean Tower Tokyu Hotel,,"Saturday, December 14, 2024",NaN
Cerulean Tower Tokyu Hotel,,"Sunday, December 15, 2024",NaN
Cerulean Tower Tokyu Hotel,,"Monday, December 16, 2024",NaN
Cerulean Tower Tokyu Hotel,,"Tuesday, December 17, 2024",NaN
Cerulean Tower Tokyu Hotel,,"Wednesday, December 18, 2024",NaN
Cerulean Tower Tokyu Hotel,,"Thursday, December 19, 2024",13.6K
Cerulean Tower Tokyu Hotel,,"Friday, December 20, 2024",13.9K
Cerulean Tower Tokyu Hotel,,"Saturday, December 21, 2024",15.4K
Cerulean Tower Tokyu Hotel,,"Sunday, December 22, 2024",14K
Cerulean Tower Tokyu Hotel,,"Monday, December 23, 2024",14.3K
Cerulean Tower Tokyu Hotel,,"Tuesday, December 24, 2024",15.5K
Cerulean Tower Tokyu Hotel,,"Wednesday, December 25, 2024",16.9K
Cerulean Tower Tokyu Hotel,,"Thursday, December 26, 2024",12.7K
Cerulean Tower Tokyu Hotel,,"Friday, December 27, 2024",15K
Cerulean Tower Tokyu Hotel,,"Saturday, December 28, 2024",23.3K
Cerulean Tower Tokyu Hotel,,"Sunday, December 29, 2024",16.5K
Cerulean Tower Tokyu Hotel,,"Monday, December 30, 2024",15.7K
Cerulean Tower Tokyu Hotel,,"Tuesday, December 31, 2024",23.4K
Cerulean Tower Tokyu Hotel,,"Wednesday, January 1, 2025",18.5K
Cerulean Tower Tokyu Hotel,,"Thursday, January 2, 2025",15.5K
Cerulean Tower Tokyu Hotel,,"Friday, January 3, 2025",14.4K
Cerulean Tower Tokyu Hotel,,"Saturday, January 4, 2025",12.7K
Cerulean Tower Tokyu Hotel,,"Sunday, January 5, 2025",11.3K
Cerulean Tower Tokyu Hotel,,"Monday, January 6, 2025",11.7K
Cerulean Tower Tokyu Hotel,,"Tuesday, January 7, 2025",11.9K
Cerulean Tower Tokyu Hotel,,"Wednesday, January 8, 2025","9,907"
Cerulean Tower Tokyu Hotel,,"Thursday, January 9, 2025","9,907"
Cerulean Tower Tokyu Hotel,,"Friday, January 10, 2025",11.1K
Cerulean Tower Tokyu Hotel,,"Saturday, January 11, 2025",14.4K
Cerulean Tower Tokyu Hotel,,"Sunday, January 12, 2025",12.5K
Cerulean Tower Tokyu Hotel,,"Monday, January 13, 2025",12.9K
Cerulean Tower Tokyu Hotel,,"Tuesday, January 14, 2025",12.6K
Cerulean Tower Tokyu Hotel,,"Wednesday, January 15, 2025, departure date.",12.8K
Cerulean Tower Tokyu Hotel,,"Thursday, January 16, 2025, return date.",NaN
Cerulean Tower Tokyu Hotel,,"Friday, January 17, 2025",13K
Cerulean Tower Tokyu Hotel,,"Saturday, January 18, 2025",13.8K
Cerulean Tower Tokyu Hotel,,"Sunday, January 19, 2025",12.8K
Cerulean Tower Tokyu Hotel,,"Monday, January 20, 2025",12K
Cerulean Tower Tokyu Hotel,,"Tuesday, January 21, 2025",10.8K
Cerulean Tower Tokyu Hotel,,"Wednesday, January 22, 2025",10.9K
Cerulean Tower Tokyu Hotel,,"Thursday, January 23, 2025",12.6K
Cerulean Tower Tokyu Hotel,,"Friday, January 24, 2025",10.7K
Cerulean Tower Tokyu Hotel,,"Saturday, January 25, 2025",14K
Cerulean Tower Tokyu Hotel,,"Sunday, January 26, 2025",10.4K
Cerulean Tower Tokyu Hotel,,"Monday, January 27, 2025",10.9K
Cerulean Tower Tokyu Hotel,,"Tuesday, January 28, 2025",10.9K
Cerulean Tower Tokyu Hotel,,"Wednesday, January 29, 2025",10.9K
Cerulean Tower Tokyu Hotel,,"Thursday, January 30, 2025",10.9K
Cerulean Tower Tokyu Hotel,,"Friday, January 31, 2025",14K
Cerulean Tower Tokyu Hotel,,"Saturday, February 1, 2025",13.9K
Cerulean Tower Tokyu Hotel,,"Sunday, February 2, 2025",11K
Cerulean Tower Tokyu Hotel,,"Monday, February 3, 2025",11.1K
Cerulean Tower Tokyu Hotel,,"Tuesday, February 4, 2025",13.9K
Cerulean Tower Tokyu Hotel,,"Wednesday, February 5, 2025",11.6K
Cerulean Tower Tokyu Hotel,,"Thursday, February 6, 2025",11.2K
Cerulean Tower Tokyu Hotel,,"Friday, February 7, 2025",11.2K
Cerulean Tower Tokyu Hotel,,"Saturday, February 8, 2025",12.6K
Cerulean Tower Tokyu Hotel,,"Sunday, February 9, 2025",12.6K
Cerulean Tower Tokyu Hotel,,"Monday, February 10, 2025",10.9K
Cerulean Tower Tokyu Hotel,,"Tuesday, February 11, 2025",10.7K
Cerulean Tower Tokyu Hotel,,"Wednesday, February 12, 2025",10.7K
Cerulean Tower Tokyu Hotel,,"Thursday, February 13, 2025",11.7K
Cerulean Tower Tokyu Hotel,,"Friday, February 14, 2025",13K
Cerulean Tower Tokyu Hotel,,"Saturday, February 15, 2025",14.8K
Cerulean Tower Tokyu Hotel,,"Sunday, February 16, 2025",10.9K
Cerulean Tower Tokyu Hotel,,"Monday, February 17, 2025",10.7K
Cerulean Tower Tokyu Hotel,,"Tuesday, February 18, 2025",10.9K
Cerulean Tower Tokyu Hotel,,"Wednesday, February 19, 2025",10.7K
Cerulean Tower Tokyu Hotel,,"Thursday, February 20, 2025",10.4K
Cerulean Tower Tokyu Hotel,,"Friday, February 21, 2025",12.5K
Cerulean Tower Tokyu Hotel,,"Saturday, February 22, 2025",12.5K
Cerulean Tower Tokyu Hotel,,"Sunday, February 23, 2025",13K
Cerulean Tower Tokyu Hotel,,"Monday, February 24, 2025",13.9K
Cerulean Tower Tokyu Hotel,,"Tuesday, February 25, 2025",12.4K
Cerulean Tower Tokyu Hotel,,"Wednesday, February 26, 2025",11.8K
Cerulean Tower Tokyu Hotel,,"Thursday, February 27, 2025",12.4K
Cerulean Tower Tokyu Hotel,,"Friday, February 28, 2025",14K
Cerulean Tower Tokyu Hotel,,"Saturday, March 1, 2025",16.8K
Cerulean Tower Tokyu Hotel,,"Sunday, March 2, 2025",13.8K
Cerulean Tower Tokyu Hotel,,"Monday, March 3, 2025",11.8K
Cerulean Tower Tokyu Hotel,,"Tuesday, March 4, 2025",12.6K
Cerulean Tower Tokyu Hotel,,"Wednesday, March 5, 2025",12.7K
Cerulean Tower Tokyu Hotel,,"Thursday, March 6, 2025",12.5K
Cerulean Tower Tokyu Hotel,,"Friday, March 7, 2025",12.7K
Cerulean Tower Tokyu Hotel,,"Saturday, March 8, 2025",12.7K
Cerulean Tower Tokyu Hotel,,"Sunday, March 9, 2025",10.7K
Cerulean Tower Tokyu Hotel,,"Monday, March 10, 2025",10.7K
Cerulean Tower Tokyu Hotel,,"Tuesday, March 11, 2025",13K
Cerulean Tower Tokyu Hotel,,"Wednesday, March 12, 2025",13K
Cerulean Tower Tokyu Hotel,,"Thursday, March 13, 2025",12.6K
Cerulean Tower Tokyu Hotel,,"Friday, March 14, 2025",12.7K
Cerulean Tower Tokyu Hotel,,"Saturday, March 15, 2025",13.9K
Cerulean Tower Tokyu Hotel,,"Sunday, March 16, 2025",11.6K
Cerulean Tower Tokyu Hotel,,"Monday, March 17, 2025",11.8K
Cerulean Tower Tokyu Hotel,,"Tuesday, March 18, 2025",13K
Cerulean Tower Tokyu Hotel,,"Wednesday, March 19, 2025",13K
Cerulean Tower Tokyu Hotel,,"Thursday, March 20, 2025",13K
Cerulean Tower Tokyu Hotel,,"Friday, March 21, 2025",14.1K
Cerulean Tower Tokyu Hotel,,"Saturday, March 22, 2025",15.6K
Cerulean Tower Tokyu Hotel,,"Sunday, March 23, 2025",13.6K
Cerulean Tower Tokyu Hotel,,"Monday, March 24, 2025",13.9K
Cerulean Tower Tokyu Hotel,,"Tuesday, March 25, 2025",15.3K
Cerulean Tower Tokyu Hotel,,"Wednesday, March 26, 2025",15.4K
Cerulean Tower Tokyu Hotel,,"Thursday, March 27, 2025",15.3K
Cerulean Tower Tokyu Hotel,,"Friday, March 28, 2025",15.4K
Cerulean Tower Tokyu Hotel,,"Saturday, March 29, 2025",16.1K
Cerulean Tower Tokyu Hotel,,"Sunday, March 30, 2025",16.1K
Cerulean Tower Tokyu Hotel,,"Monday, March 31, 2025",13.9K
Cerulean Tower Tokyu Hotel,,"Tuesday, April 1, 2025",18.2K
Cerulean Tower Tokyu Hotel,,"Wednesday, April 2, 2025",18.2K
Cerulean Tower Tokyu Hotel,,"Thursday, April 3, 2025",18.2K
Cerulean Tower Tokyu Hotel,,"Friday, April 4, 2025",18.2K
Cerulean Tower Tokyu Hotel,,"Saturday, April 5, 2025",18.2K
Cerulean Tower Tokyu Hotel,,"Sunday, April 6, 2025",18.2K
Cerulean Tower Tokyu Hotel,,"Monday, April 7, 2025",18.2K
Cerulean Tower Tokyu Hotel,,"Tuesday, April 8, 2025",18.2K
Cerulean Tower Tokyu Hotel,,"Wednesday, April 9, 2025",18.1K
Cerulean Tower Tokyu Hotel,,"Thursday, April 10, 2025",17.1K
Cerulean Tower Tokyu Hotel,,"Friday, April 11, 2025",18.2K
Cerulean Tower Tokyu Hotel,,"Saturday, April 12, 2025",18.2K
Cerulean Tower Tokyu Hotel,,"Sunday, April 13, 2025",13.9K
Cerulean Tower Tokyu Hotel,,"Monday, April 14, 2025",18.2K
