Hotel Name,rate,date,price
Four Seasons Hotel Tokyo at Otemachi,3.7,"Sunday, December 1, 2024",NaN
Four Seasons Hotel Tokyo at Otemachi,3.7,"Monday, December 2, 2024",NaN
Four Seasons Hotel Tokyo at Otemachi,3.7,"Tuesday, December 3, 2024",NaN
Four Seasons Hotel Tokyo at Otemachi,3.7,"Wednesday, December 4, 2024",NaN
Four Seasons Hotel Tokyo at Otemachi,3.7,"Thursday, December 5, 2024",NaN
Four Seasons Hotel Tokyo at Otemachi,3.7,"Friday, December 6, 2024",NaN
Four Seasons Hotel Tokyo at Otemachi,3.7,"Saturday, December 7, 2024",NaN
Four Seasons Hotel Tokyo at Otemachi,3.7,"Sunday, December 8, 2024",NaN
Four Seasons Hotel Tokyo at Otemachi,3.7,"Monday, December 9, 2024",NaN
Four Seasons Hotel Tokyo at Otemachi,3.7,"Tuesday, December 10, 2024",NaN
Four Seasons Hotel Tokyo at Otemachi,3.7,"Wednesday, December 11, 2024",NaN
Four Seasons Hotel Tokyo at Otemachi,3.7,"Thursday, December 12, 2024",NaN
Four Seasons Hotel Tokyo at Otemachi,3.7,"Friday, December 13, 2024",NaN
Four Seasons Hotel Tokyo at Otemachi,3.7,"Saturday, December 14, 2024",NaN
Four Seasons Hotel Tokyo at Otemachi,3.7,"Sunday, December 15, 2024",NaN
Four Seasons Hotel Tokyo at Otemachi,3.7,"Monday, December 16, 2024",NaN
Four Seasons Hotel Tokyo at Otemachi,3.7,"Tuesday, December 17, 2024",NaN
Four Seasons Hotel Tokyo at Otemachi,3.7,"Wednesday, December 18, 2024",NaN
Four Seasons Hotel Tokyo at Otemachi,3.7,"Thursday, December 19, 2024",37.8K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Friday, December 20, 2024",45.6K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Saturday, December 21, 2024",48K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Sunday, December 22, 2024",49.3K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Monday, December 23, 2024",53K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Tuesday, December 24, 2024",56.2K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Wednesday, December 25, 2024",69.8K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Thursday, December 26, 2024",49.8K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Friday, December 27, 2024",64.5K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Saturday, December 28, 2024",62.9K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Sunday, December 29, 2024",71.2K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Monday, December 30, 2024",70.4K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Tuesday, December 31, 2024",93.2K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Wednesday, January 1, 2025",69.8K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Thursday, January 2, 2025",39.7K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Friday, January 3, 2025",33.1K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Saturday, January 4, 2025",33.8K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Sunday, January 5, 2025",33.1K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Monday, January 6, 2025",28.3K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Tuesday, January 7, 2025",31K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Wednesday, January 8, 2025",28.8K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Thursday, January 9, 2025",32.1K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Friday, January 10, 2025",28.8K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Saturday, January 11, 2025",31.8K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Sunday, January 12, 2025",30K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Monday, January 13, 2025",27.5K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Tuesday, January 14, 2025",31K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Wednesday, January 15, 2025, departure date.",30.8K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Thursday, January 16, 2025, return date.",NaN
Four Seasons Hotel Tokyo at Otemachi,3.7,"Friday, January 17, 2025",31.1K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Saturday, January 18, 2025",27.1K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Sunday, January 19, 2025",25K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Monday, January 20, 2025",29.6K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Tuesday, January 21, 2025",29.8K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Wednesday, January 22, 2025",27.1K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Thursday, January 23, 2025",27.1K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Friday, January 24, 2025",30.6K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Saturday, January 25, 2025",31.2K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Sunday, January 26, 2025",27.1K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Monday, January 27, 2025",31.1K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Tuesday, January 28, 2025",26.1K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Wednesday, January 29, 2025",26.4K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Thursday, January 30, 2025",27.5K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Friday, January 31, 2025",28.5K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Saturday, February 1, 2025",31.2K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Sunday, February 2, 2025",27.3K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Monday, February 3, 2025",25.6K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Tuesday, February 4, 2025",24.8K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Wednesday, February 5, 2025",30.4K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Thursday, February 6, 2025",34.3K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Friday, February 7, 2025",26K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Saturday, February 8, 2025",25.2K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Sunday, February 9, 2025",23.9K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Monday, February 10, 2025",24.3K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Tuesday, February 11, 2025",24.8K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Wednesday, February 12, 2025",24.8K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Thursday, February 13, 2025",24.8K
Four Seasons Hotel Tokyo at Otemachi,3.7,"Friday, February 14, 2025",30.7K
