Hotel Name,rate,date,price
The Prince Park Tower Tokyo,,"Sunday, December 1, 2024",NaN
The Prince Park Tower Tokyo,,"Monday, December 2, 2024",NaN
The Prince Park Tower Tokyo,,"Tuesday, December 3, 2024",NaN
The Prince Park Tower Tokyo,,"Wednesday, December 4, 2024",NaN
The Prince Park Tower Tokyo,,"Thursday, December 5, 2024",NaN
The Prince Park Tower Tokyo,,"Friday, December 6, 2024",NaN
The Prince Park Tower Tokyo,,"Saturday, December 7, 2024",NaN
The Prince Park Tower Tokyo,,"Sunday, December 8, 2024",NaN
The Prince Park Tower Tokyo,,"Monday, December 9, 2024",NaN
The Prince Park Tower Tokyo,,"Tuesday, December 10, 2024",NaN
The Prince Park Tower Tokyo,,"Wednesday, December 11, 2024",NaN
The Prince Park Tower Tokyo,,"Thursday, December 12, 2024",NaN
The Prince Park Tower Tokyo,,"Friday, December 13, 2024",NaN
The Prince Park Tower Tokyo,,"Saturday, December 14, 2024",NaN
The Prince Park Tower Tokyo,,"Sunday, December 15, 2024",NaN
The Prince Park Tower Tokyo,,"Monday, December 16, 2024",NaN
The Prince Park Tower Tokyo,,"Tuesday, December 17, 2024",NaN
The Prince Park Tower Tokyo,,"Wednesday, December 18, 2024",NaN
The Prince Park Tower Tokyo,,"Thursday, December 19, 2024",15.7K
The Prince Park Tower Tokyo,,"Friday, December 20, 2024",15.6K
The Prince Park Tower Tokyo,,"Saturday, December 21, 2024",22.9K
The Prince Park Tower Tokyo,,"Sunday, December 22, 2024",13.1K
The Prince Park Tower Tokyo,,"Monday, December 23, 2024",14.4K
The Prince Park Tower Tokyo,,"Tuesday, December 24, 2024",10.6K
The Prince Park Tower Tokyo,,"Wednesday, December 25, 2024",10.6K
The Prince Park Tower Tokyo,,"Thursday, December 26, 2024",14.3K
The Prince Park Tower Tokyo,,"Friday, December 27, 2024",15.3K
The Prince Park Tower Tokyo,,"Saturday, December 28, 2024",19K
The Prince Park Tower Tokyo,,"Sunday, December 29, 2024",15.9K
The Prince Park Tower Tokyo,,"Monday, December 30, 2024",18.5K
The Prince Park Tower Tokyo,,"Tuesday, December 31, 2024",27.2K
The Prince Park Tower Tokyo,,"Wednesday, January 1, 2025",16.8K
The Prince Park Tower Tokyo,,"Thursday, January 2, 2025",14.8K
The Prince Park Tower Tokyo,,"Friday, January 3, 2025",12.8K
The Prince Park Tower Tokyo,,"Saturday, January 4, 2025","9,319"
The Prince Park Tower Tokyo,,"Sunday, January 5, 2025","8,597"
The Prince Park Tower Tokyo,,"Monday, January 6, 2025","7,928"
The Prince Park Tower Tokyo,,"Tuesday, January 7, 2025","7,928"
The Prince Park Tower Tokyo,,"Wednesday, January 8, 2025","9,919"
The Prince Park Tower Tokyo,,"Thursday, January 9, 2025","8,327"
The Prince Park Tower Tokyo,,"Friday, January 10, 2025","9,592"
The Prince Park Tower Tokyo,,"Saturday, January 11, 2025",10.2K
The Prince Park Tower Tokyo,,"Sunday, January 12, 2025",10.8K
The Prince Park Tower Tokyo,,"Monday, January 13, 2025","9,909"
The Prince Park Tower Tokyo,,"Tuesday, January 14, 2025","9,919"
The Prince Park Tower Tokyo,,"Wednesday, January 15, 2025, departure date.","9,186"
The Prince Park Tower Tokyo,,"Thursday, January 16, 2025, return date.",NaN
The Prince Park Tower Tokyo,,"Friday, January 17, 2025",10.7K
The Prince Park Tower Tokyo,,"Saturday, January 18, 2025",15K
