,Hotel Name,Stars,url,Accessible,Bar,Fitness center,Free Wi-Fi,Free parking,Indoor pool,Kid-friendly,Kitchen in some rooms,Onsen,Open air bath,Outdoor pool,Parking,Parking ($),Pet-friendly,Pool,Private bath,Public bath,Restaurant,Sauna,Transfer
12,Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAEgASgAMidDaGtJcF9DNmtMcll0X0JVR2cwdlp5OHhNV2d4TVRObU1UYzNFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj-t6L-yLGKAxVrQ8IFHeZcO9QQyvcEegUIAxCHAw,True,True,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False
13,The Blossom Hibiya,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAEgASgAMidDaGtJNGVtOGx2LUkzdFpaR2cwdlp5OHhNV293Y3pWb04zUjNFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj-t6L-yLGKAxVrQ8IFHeZcO9QQyvcEegUIAxCeAw,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
14,HOTEL MYSTAYS PREMIER Omori,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAEgASgAMiRDaGNJNC0yWDZkblFtYUF3R2dzdlp5OHhkR1p5WWpSdWFCQUI4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj-t6L-yLGKAxVrQ8IFHeZcO9QQyvcEegUIAxC3Aw,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
15,Hotel Metropolitan Tokyo Marunouchi,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAEgASgAMiZDaGdJbC12ZTdQUFItTG5RQVJvTEwyY3ZNVEl5TW5wcVpHWVFBUTgNSAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj-t6L-yLGKAxVrQ8IFHeZcO9QQyvcEegUIAxDSAw,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
16,JR Kyushu Hotel Blossom Shinjuku,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAEgASgAMiZDaGdJcThUdHdORC1vOVYxR2d3dlp5OHhNbmh4Y0hBemNEa1FBUTgNSAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj-t6L-yLGKAxVrQ8IFHeZcO9QQyvcEegUIAxDrAw,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
17,Mitsui Garden Hotel Nihonbashi Premier,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAEgASgAMihDaG9JdjVPM29MaWF2TnFaQVJvTkwyY3ZNVEZtTld4NU5tUnphQkFCOA1IAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj-t6L-yLGKAxVrQ8IFHeZcO9QQyvcEegUIAxCIBA,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False
18,The Gate Hotel Ryogoku by HULIC,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMidDaGtJbWVDbHhhX2t5cjk1R2cwdlp5OHhNV28yWW1wamVqWmlFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CCEQyvcEahcKEwiIu5P_yLGKAxUAAAAAHQAAAAAQFw,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
19,hotel MONday Premium Ueno Okachimachi,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMidDaGtJeWQyaG84emdpNTVvR2cwdlp5OHhNV2cxYkhObWNHWnJFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CDwQyvcEahcKEwiIu5P_yLGKAxUAAAAAHQAAAAAQFw,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
20,Muji Hotel Ginza,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMihDaG9JdV9DVzR0cjJoYk9lQVJvTkwyY3ZNVEZtWkRVMGVYZDNNUkFCOA1IAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CFkQyvcEahcKEwiIu5P_yLGKAxUAAAAAHQAAAAAQFw,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
21,Onsen Ryokan Yuen Bettei Tokyo Daita,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMidDaGtJd2E3NjRfM3FwWVVTR2cwdlp5OHhNV28xY1RGcU5uWmZFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CHkQyvcEahcKEwiIu5P_yLGKAxUAAAAAHQAAAAAQFw,False,True,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,True,True,False
