,Hotel Name,Stars,url,Accessible,Bar,Fitness center,Free Wi-Fi,Kid-friendly,Kitchen in rooms,Kitchen in some rooms,Onsen,Open air bath,Outdoor pool,Parking,Parking ($),Public bath,Restaurant,Sauna,Transfer
11,Via Inn Prime Akasaka,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAEgASgAMidDaGtJMjd1NnM3ZjV1WUJKR2cwdlp5OHhNV1p3Wm1nM2JUSjJFQUU4DQ&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj_nKCFybGKAxXESMIFHUPlFawQyvcEegUIAxDtAg,True,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False
12,The Royal Park Canvas Ginza 8,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAEgASgAMidDaGtJa092WndPckFoSjhfR2cwdlp5OHhNV1kzWWpVME5ITXpFQUU4DQ&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj_nKCFybGKAxXESMIFHUPlFawQyvcEegUIAxCGAw,True,False,True,True,True,False,False,False,False,False,True,False,False,True,False,False
13,THE KANZASHI TOKYO ASAKUSA,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAEgASgAMihDaG9JaXIyOHFLV1I2czd2QVJvTkwyY3ZNVEZ0T1Y4MVpuRmlaQkFCOA0&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj_nKCFybGKAxXESMIFHUPlFawQyvcEegUIAxCiAw,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
14,Sotetsu Fresa Inn Higashi-Shinjuku Ekimae,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAEgASgAMiZDaGdJdF83UW9wU0V0b1BIQVJvTEwyY3ZNWFJqZG5SMmJqQVFBUTgN&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj_nKCFybGKAxXESMIFHUPlFawQyvcEegUIAxC7Aw,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
15,hotel MONday TOKYO NISHIKASAI,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAEgASgAMihDaG9JcS15VWhjYUdvUG5XQVJvTkwyY3ZNVEZtYW1ab1ltWTNNUkFCOA0&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj_nKCFybGKAxXESMIFHUPlFawQyvcEegUIAxDYAw,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False
16,Hotel Musse Ginza Meitetsu,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAEgASgAMidDaGtJa3JpMnhmNzBvYVJSR2cwdlp5OHhNV2RpTTNvd2NqWjRFQUU4DQ&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj_nKCFybGKAxXESMIFHUPlFawQyvcEegUIAxDvAw,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False
17,APA HOTEL 〈AKIHABARA EKIKITA〉,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAEgASgAMihDaG9JLWNmVXEtclk2ZjJLQVJvTkwyY3ZNVEZxTlRrM2Myc3lkQkFCOA0&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj_nKCFybGKAxXESMIFHUPlFawQyvcEegUIAxCMBA,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False
18,APA Hotel Akihabara-Ekihigashi,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMidDaGtJOXJXRDZMN192LTlER2cwdlp5OHhNWEZuTTJReU1tMDBFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CCEQyvcEahcKEwjw1qGGybGKAxUAAAAAHQAAAAAQFw,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
19,Hotel Gracery Tamachi,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMiRDaGNJOHZla2w2bVo0UFJlR2dzdlp5OHhkR1ExTTJZeU1CQUI4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CDwQyvcEahcKEwjw1qGGybGKAxUAAAAAHQAAAAAQFw,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False
20,remm Roppongi,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMidDaGtJOElyTHpzYmx6T01hR2cwdlp5OHhNV056WW5Ka01YbzRFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CFcQyvcEahcKEwjw1qGGybGKAxUAAAAAHQAAAAAQFw,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
