,Hotel Name,Stars,url,Accessible,Bar,Fitness center,Free Wi-Fi,Free parking,Indoor pool,Kid-friendly,Kitchen in some rooms,Onsen,Parking,Parking ($),Pet-friendly,Pool,Private bath,Public bath,Restaurant,Sauna,Transfer,Wi-Fi ($)
18,Hotel Okura Tokyo Bay,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMiRDaGNJeXEybDV1LW81NmdFR2dzdlp5OHhNakZ5WTNJNGNCQUI4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CCYQyvcEahcKEwjYgpCgwbGKAxUAAAAAHQAAAAAQGA,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False
19,Grand Hyatt Tokyo,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMiZDaGdJc2NuQmh1R25tWlNWQVJvTEwyY3ZNVEl4Yld0d01uUVFBUTgNSAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CEQQyvcEahcKEwjYgpCgwbGKAxUAAAAAHQAAAAAQGA,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,False
20,The Capitol Hotel Tokyu,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMiZDaGdJekotb3VPUDZxYWItQVJvTEwyY3ZNVEl5Wm1wdWJtNFFBUTgNSAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CF0QyvcEahcKEwjYgpCgwbGKAxUAAAAAHQAAAAAQGA,False,True,True,True,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False
21,Four Seasons Hotel Tokyo At Marunouchi,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMiRDaGNJeXNXMnc1em8xY1FRR2dzdlp5OHhNakZyZHpFeU1CQUI4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CIEBEMr3BGoXChMI2IKQoMGxigMVAAAAAB0AAAAAEBg,False,True,True,True,False,False,False,False,True,False,True,True,False,False,False,False,True,True,False
22,"The Tokyo EDITION, Toranomon",5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMihDaG9JcDV2WjJ2NkEyc0NTQVJvTkwyY3ZNVEZxTjNaclkzSnpNeEFCOA1IAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CJoBEMr3BGoXChMI2IKQoMGxigMVAAAAAB0AAAAAEBg,True,True,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False
23,The Westin Tokyo,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMiZDaGdJOWF6MDBZLXgtTXUtQVJvTEwyY3ZNVEl5ZDNRMk5XZ1FBUTgNSAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CLIBEMr3BGoXChMI2IKQoMGxigMVAAAAAB0AAAAAEBg,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
24,Cerulean Tower Tokyu Hotel,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMiZDaGdJdEw3MzR1cW45OG1KQVJvTEwyY3ZNWFJxT1dNeE4zSVFBUTgNSAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CM0BEMr3BGoXChMI2IKQoMGxigMVAAAAAB0AAAAAEBg,False,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False
25,"The Tokyo EDITION, Ginza",5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMidDaGtJMU1mZTZzdU1vNGNSR2cwdlp5OHhNV3M1YzNseWRHZHJFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0COYBEMr3BGoXChMI2IKQoMGxigMVAAAAAB0AAAAAEBg,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
26,Dai-ichi Hotel Tokyo,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMidDaGtJaEpfNjk0SFc4OS1CQVJvTUwyY3ZNWEUxWW13MGVtUXhFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CP8BEMr3BGoXChMI2IKQoMGxigMVAAAAAB0AAAAAEBg,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False
27,HOSHINOYA Tokyo,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMidDaGtJMGR5Z3JzV2c5cUlHR2cwdlp5OHhNV00xZERBek1uaHNFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CJ4CEMr3BGoXChMI2IKQoMGxigMVAAAAAB0AAAAAEBg,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,True,False,True,False
28,Tokyo Disneyland Hotel,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMiRDaGNJLU96VV9OWFR4b3VTQVJvS0wyMHZNREoyYTNRemJCQUI4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CLECEMr3BGoXChMI2IKQoMGxigMVAAAAAB0AAAAAEBg,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
29,Pullman Tokyo Tamachi,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMidDaGtJeElMUXVNeU5rNzFzR2cwdlp5OHhNV1pqY1haemJUSmtFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CMgCEMr3BGoXChMI2IKQoMGxigMVAAAAAB0AAAAAEBg,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
30,"BELLUSTAR TOKYO, A Pan Pacific Hotel",5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMihDaG9JbUxucjF1UDdqcC1aQVJvTkwyY3ZNVEZ6T0dnNU5WOW5aeEFCOA1IAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CN8CEMr3BGoXChMI2IKQoMGxigMVAAAAAB0AAAAAEBg,True,True,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
31,Palace Hotel Tokyo,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMiNDaFlJdkxlWS01N1o2YUlZR2dvdmJTOHdObnB1TVY5aUVBRTgNSAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CPgCEMr3BGoXChMI2IKQoMGxigMVAAAAAB0AAAAAEBg,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,False
32,Bvlgari Hotel Tokyo,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMihDaG9JaE4tUG40M25xcERzQVJvTkwyY3ZNVEYwYldOa1gyTTNjUkFCOA1IAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CI8DEMr3BGoXChMI2IKQoMGxigMVAAAAAB0AAAAAEBg,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
33,The Peninsula Tokyo,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMiRDaGNJNDRQXzRZdmd6Y21yQVJvS0wyMHZNRE5qT0hReE5CQUI4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CKgDEMr3BGoXChMI2IKQoMGxigMVAAAAAB0AAAAAEBg,False,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False
34,Hotel Chinzanso Tokyo,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMiRDaGNJejRMdnRMWHJ6Ym1BQVJvS0wyMHZNSEl6Y2pnM2FCQUI4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CMQDEMr3BGoXChMI2IKQoMGxigMVAAAAAB0AAAAAEBg,False,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False
35,Sheraton Grande Tokyo Bay Hotel,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAESBENCST0gASgAMiZDaGdJMWR6czNZWGVqYkh2QVJvTEwyY3ZNVEl3ZUhBM1ozUVFBUTgNSAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=0CN4DEMr3BGoXChMI2IKQoMGxigMVAAAAAB0AAAAAEBg,False,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False
