Hotel Name,rate,date,price
Tokyo Prince Hotel,4.1,"Sunday, December 1, 2024",NaN
Tokyo Prince Hotel,4.1,"Monday, December 2, 2024",NaN
Tokyo Prince Hotel,4.1,"Tuesday, December 3, 2024",NaN
Tokyo Prince Hotel,4.1,"Wednesday, December 4, 2024",NaN
Tokyo Prince Hotel,4.1,"Thursday, December 5, 2024",NaN
Tokyo Prince Hotel,4.1,"Friday, December 6, 2024",NaN
Tokyo Prince Hotel,4.1,"Saturday, December 7, 2024",NaN
Tokyo Prince Hotel,4.1,"Sunday, December 8, 2024",NaN
Tokyo Prince Hotel,4.1,"Monday, December 9, 2024",NaN
Tokyo Prince Hotel,4.1,"Tuesday, December 10, 2024",NaN
Tokyo Prince Hotel,4.1,"Wednesday, December 11, 2024",NaN
Tokyo Prince Hotel,4.1,"Thursday, December 12, 2024",NaN
Tokyo Prince Hotel,4.1,"Friday, December 13, 2024",NaN
Tokyo Prince Hotel,4.1,"Saturday, December 14, 2024",NaN
Tokyo Prince Hotel,4.1,"Sunday, December 15, 2024",NaN
Tokyo Prince Hotel,4.1,"Monday, December 16, 2024",NaN
Tokyo Prince Hotel,4.1,"Tuesday, December 17, 2024",NaN
Tokyo Prince Hotel,4.1,"Wednesday, December 18, 2024",NaN
Tokyo Prince Hotel,4.1,"Thursday, December 19, 2024","7,711"
Tokyo Prince Hotel,4.1,"Friday, December 20, 2024","7,834"
Tokyo Prince Hotel,4.1,"Saturday, December 21, 2024","9,416"
Tokyo Prince Hotel,4.1,"Sunday, December 22, 2024","6,288"
Tokyo Prince Hotel,4.1,"Monday, December 23, 2024","7,060"
Tokyo Prince Hotel,4.1,"Tuesday, December 24, 2024","9,359"
Tokyo Prince Hotel,4.1,"Wednesday, December 25, 2024","7,638"
Tokyo Prince Hotel,4.1,"Thursday, December 26, 2024","7,476"
Tokyo Prince Hotel,4.1,"Friday, December 27, 2024","7,442"
Tokyo Prince Hotel,4.1,"Saturday, December 28, 2024","9,083"
Tokyo Prince Hotel,4.1,"Sunday, December 29, 2024","9,082"
Tokyo Prince Hotel,4.1,"Monday, December 30, 2024","9,009"
Tokyo Prince Hotel,4.1,"Tuesday, December 31, 2024",18.8K
Tokyo Prince Hotel,4.1,"Wednesday, January 1, 2025","9,568"
Tokyo Prince Hotel,4.1,"Thursday, January 2, 2025","8,128"
Tokyo Prince Hotel,4.1,"Friday, January 3, 2025","7,173"
Tokyo Prince Hotel,4.1,"Saturday, January 4, 2025","6,800"
Tokyo Prince Hotel,4.1,"Sunday, January 5, 2025","6,345"
Tokyo Prince Hotel,4.1,"Monday, January 6, 2025","5,780"
Tokyo Prince Hotel,4.1,"Tuesday, January 7, 2025","5,875"
Tokyo Prince Hotel,4.1,"Wednesday, January 8, 2025","5,859"
Tokyo Prince Hotel,4.1,"Thursday, January 9, 2025","5,858"
Tokyo Prince Hotel,4.1,"Friday, January 10, 2025","6,477"
Tokyo Prince Hotel,4.1,"Saturday, January 11, 2025","7,497"
Tokyo Prince Hotel,4.1,"Sunday, January 12, 2025","7,178"
Tokyo Prince Hotel,4.1,"Monday, January 13, 2025","5,859"
Tokyo Prince Hotel,4.1,"Tuesday, January 14, 2025","5,875"
Tokyo Prince Hotel,4.1,"Wednesday, January 15, 2025, departure date.","5,875"
Tokyo Prince Hotel,4.1,"Thursday, January 16, 2025, return date.",NaN
Tokyo Prince Hotel,4.1,"Friday, January 17, 2025","5,915"
Tokyo Prince Hotel,4.1,"Saturday, January 18, 2025","7,822"
Tokyo Prince Hotel,4.1,"Sunday, January 19, 2025","5,287"
Tokyo Prince Hotel,4.1,"Monday, January 20, 2025","5,287"
Tokyo Prince Hotel,4.1,"Tuesday, January 21, 2025","5,287"
Tokyo Prince Hotel,4.1,"Wednesday, January 22, 2025","5,287"
Tokyo Prince Hotel,4.1,"Thursday, January 23, 2025","5,862"
Tokyo Prince Hotel,4.1,"Friday, January 24, 2025","7,140"
Tokyo Prince Hotel,4.1,"Saturday, January 25, 2025","7,821"
Tokyo Prince Hotel,4.1,"Sunday, January 26, 2025","6,386"
Tokyo Prince Hotel,4.1,"Monday, January 27, 2025","5,920"
Tokyo Prince Hotel,4.1,"Tuesday, January 28, 2025","7,079"
Tokyo Prince Hotel,4.1,"Wednesday, January 29, 2025","7,140"
Tokyo Prince Hotel,4.1,"Thursday, January 30, 2025","5,912"
Tokyo Prince Hotel,4.1,"Friday, January 31, 2025","7,817"
Tokyo Prince Hotel,4.1,"Saturday, February 1, 2025","8,759"
Tokyo Prince Hotel,4.1,"Sunday, February 2, 2025","5,829"
Tokyo Prince Hotel,4.1,"Monday, February 3, 2025","5,829"
Tokyo Prince Hotel,4.1,"Tuesday, February 4, 2025","5,829"
Tokyo Prince Hotel,4.1,"Wednesday, February 5, 2025","5,829"
Tokyo Prince Hotel,4.1,"Thursday, February 6, 2025","5,583"
Tokyo Prince Hotel,4.1,"Friday, February 7, 2025","5,287"
Tokyo Prince Hotel,4.1,"Saturday, February 8, 2025","6,120"
Tokyo Prince Hotel,4.1,"Sunday, February 9, 2025","4,796"
Tokyo Prince Hotel,4.1,"Monday, February 10, 2025","4,796"
Tokyo Prince Hotel,4.1,"Tuesday, February 11, 2025","4,796"
Tokyo Prince Hotel,4.1,"Wednesday, February 12, 2025","4,796"
Tokyo Prince Hotel,4.1,"Thursday, February 13, 2025","4,796"
Tokyo Prince Hotel,4.1,"Friday, February 14, 2025","4,796"
Tokyo Prince Hotel,4.1,"Saturday, February 15, 2025","6,853"
Tokyo Prince Hotel,4.1,"Sunday, February 16, 2025","4,796"
