Hotel Name,rate,date,price
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Sunday, December 1, 2024",NaN
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Monday, December 2, 2024",NaN
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Tuesday, December 3, 2024",NaN
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Wednesday, December 4, 2024",NaN
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Thursday, December 5, 2024",NaN
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Friday, December 6, 2024",NaN
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Saturday, December 7, 2024",NaN
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Sunday, December 8, 2024",NaN
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Monday, December 9, 2024",NaN
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Tuesday, December 10, 2024",NaN
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Wednesday, December 11, 2024",NaN
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Thursday, December 12, 2024",NaN
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Friday, December 13, 2024",NaN
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Saturday, December 14, 2024",NaN
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Sunday, December 15, 2024",NaN
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Monday, December 16, 2024",NaN
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Tuesday, December 17, 2024",NaN
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Wednesday, December 18, 2024",NaN
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Thursday, December 19, 2024","9,358"
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Friday, December 20, 2024","9,049"
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Saturday, December 21, 2024",13.4K
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Sunday, December 22, 2024","9,873"
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Monday, December 23, 2024","6,921"
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Tuesday, December 24, 2024","8,522"
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Wednesday, December 25, 2024","8,647"
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Thursday, December 26, 2024","7,697"
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Friday, December 27, 2024","9,709"
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Saturday, December 28, 2024",13.2K
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Sunday, December 29, 2024",11.3K
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Monday, December 30, 2024",11.5K
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Tuesday, December 31, 2024",12.5K
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Wednesday, January 1, 2025",10.3K
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Thursday, January 2, 2025","9,202"
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Friday, January 3, 2025","6,809"
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Saturday, January 4, 2025","6,711"
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Sunday, January 5, 2025","4,772"
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Monday, January 6, 2025",NaN
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Tuesday, January 7, 2025","4,630"
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Wednesday, January 8, 2025","4,986"
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Thursday, January 9, 2025","4,986"
Mitsui Garden Hotel Jingu-Gaien Tokyo Premier,3.7,"Friday, January 10, 2025","7,079"
