Hotel Name,rate,date,price
The Royal Park Hotel Tokyo Shiodome,,"Sunday, December 1, 2024",NaN
The Royal Park Hotel Tokyo Shiodome,,"Monday, December 2, 2024",NaN
The Royal Park Hotel Tokyo Shiodome,,"Tuesday, December 3, 2024",NaN
The Royal Park Hotel Tokyo Shiodome,,"Wednesday, December 4, 2024",NaN
The Royal Park Hotel Tokyo Shiodome,,"Thursday, December 5, 2024",NaN
The Royal Park Hotel Tokyo Shiodome,,"Friday, December 6, 2024",NaN
The Royal Park Hotel Tokyo Shiodome,,"Saturday, December 7, 2024",NaN
The Royal Park Hotel Tokyo Shiodome,,"Sunday, December 8, 2024",NaN
The Royal Park Hotel Tokyo Shiodome,,"Monday, December 9, 2024",NaN
The Royal Park Hotel Tokyo Shiodome,,"Tuesday, December 10, 2024",NaN
The Royal Park Hotel Tokyo Shiodome,,"Wednesday, December 11, 2024",NaN
The Royal Park Hotel Tokyo Shiodome,,"Thursday, December 12, 2024",NaN
The Royal Park Hotel Tokyo Shiodome,,"Friday, December 13, 2024",NaN
The Royal Park Hotel Tokyo Shiodome,,"Saturday, December 14, 2024",NaN
The Royal Park Hotel Tokyo Shiodome,,"Sunday, December 15, 2024",NaN
The Royal Park Hotel Tokyo Shiodome,,"Monday, December 16, 2024",NaN
The Royal Park Hotel Tokyo Shiodome,,"Tuesday, December 17, 2024",NaN
The Royal Park Hotel Tokyo Shiodome,,"Wednesday, December 18, 2024",NaN
The Royal Park Hotel Tokyo Shiodome,,"Thursday, December 19, 2024","6,754"
The Royal Park Hotel Tokyo Shiodome,,"Friday, December 20, 2024","7,816"
The Royal Park Hotel Tokyo Shiodome,,"Saturday, December 21, 2024","9,921"
The Royal Park Hotel Tokyo Shiodome,,"Sunday, December 22, 2024","7,024"
The Royal Park Hotel Tokyo Shiodome,,"Monday, December 23, 2024","7,024"
The Royal Park Hotel Tokyo Shiodome,,"Tuesday, December 24, 2024","8,627"
The Royal Park Hotel Tokyo Shiodome,,"Wednesday, December 25, 2024","7,816"
The Royal Park Hotel Tokyo Shiodome,,"Thursday, December 26, 2024","7,293"
The Royal Park Hotel Tokyo Shiodome,,"Friday, December 27, 2024","8,860"
The Royal Park Hotel Tokyo Shiodome,,"Saturday, December 28, 2024",11.7K
The Royal Park Hotel Tokyo Shiodome,,"Sunday, December 29, 2024","9,921"
The Royal Park Hotel Tokyo Shiodome,,"Monday, December 30, 2024","9,921"
The Royal Park Hotel Tokyo Shiodome,,"Tuesday, December 31, 2024",10.5K
The Royal Park Hotel Tokyo Shiodome,,"Wednesday, January 1, 2025","9,652"
The Royal Park Hotel Tokyo Shiodome,,"Thursday, January 2, 2025","7,173"
The Royal Park Hotel Tokyo Shiodome,,"Friday, January 3, 2025","6,078"
The Royal Park Hotel Tokyo Shiodome,,"Saturday, January 4, 2025","6,078"
The Royal Park Hotel Tokyo Shiodome,,"Sunday, January 5, 2025","4,490"
The Royal Park Hotel Tokyo Shiodome,,"Monday, January 6, 2025","4,534"
The Royal Park Hotel Tokyo Shiodome,,"Tuesday, January 7, 2025","4,534"
The Royal Park Hotel Tokyo Shiodome,,"Wednesday, January 8, 2025","4,534"
The Royal Park Hotel Tokyo Shiodome,,"Thursday, January 9, 2025","4,534"
The Royal Park Hotel Tokyo Shiodome,,"Friday, January 10, 2025","6,808"
The Royal Park Hotel Tokyo Shiodome,,"Saturday, January 11, 2025","6,288"
The Royal Park Hotel Tokyo Shiodome,,"Sunday, January 12, 2025","6,559"
The Royal Park Hotel Tokyo Shiodome,,"Monday, January 13, 2025","4,758"
The Royal Park Hotel Tokyo Shiodome,,"Tuesday, January 14, 2025","5,376"
The Royal Park Hotel Tokyo Shiodome,,"Wednesday, January 15, 2025, departure date.","7,088"
The Royal Park Hotel Tokyo Shiodome,,"Thursday, January 16, 2025, return date.",NaN
The Royal Park Hotel Tokyo Shiodome,,"Friday, January 17, 2025","5,629"
The Royal Park Hotel Tokyo Shiodome,,"Saturday, January 18, 2025","6,757"
The Royal Park Hotel Tokyo Shiodome,,"Sunday, January 19, 2025","5,418"
The Royal Park Hotel Tokyo Shiodome,,"Monday, January 20, 2025","5,418"
The Royal Park Hotel Tokyo Shiodome,,"Tuesday, January 21, 2025","5,629"
The Royal Park Hotel Tokyo Shiodome,,"Wednesday, January 22, 2025","5,629"
The Royal Park Hotel Tokyo Shiodome,,"Thursday, January 23, 2025","5,629"
The Royal Park Hotel Tokyo Shiodome,,"Friday, January 24, 2025","6,078"
The Royal Park Hotel Tokyo Shiodome,,"Saturday, January 25, 2025","6,513"
The Royal Park Hotel Tokyo Shiodome,,"Sunday, January 26, 2025","5,629"
The Royal Park Hotel Tokyo Shiodome,,"Monday, January 27, 2025","5,629"
