Hotel Name,rate,date,price
Hotel Niwa Tokyo,4.4,"Sunday, December 1, 2024",NaN
Hotel Niwa Tokyo,4.4,"Monday, December 2, 2024",NaN
Hotel Niwa Tokyo,4.4,"Tuesday, December 3, 2024",NaN
Hotel Niwa Tokyo,4.4,"Wednesday, December 4, 2024",NaN
Hotel Niwa Tokyo,4.4,"Thursday, December 5, 2024",NaN
Hotel Niwa Tokyo,4.4,"Friday, December 6, 2024",NaN
Hotel Niwa Tokyo,4.4,"Saturday, December 7, 2024",NaN
Hotel Niwa Tokyo,4.4,"Sunday, December 8, 2024",NaN
Hotel Niwa Tokyo,4.4,"Monday, December 9, 2024",NaN
Hotel Niwa Tokyo,4.4,"Tuesday, December 10, 2024",NaN
Hotel Niwa Tokyo,4.4,"Wednesday, December 11, 2024",NaN
Hotel Niwa Tokyo,4.4,"Thursday, December 12, 2024",NaN
Hotel Niwa Tokyo,4.4,"Friday, December 13, 2024",NaN
Hotel Niwa Tokyo,4.4,"Saturday, December 14, 2024",NaN
Hotel Niwa Tokyo,4.4,"Sunday, December 15, 2024",NaN
Hotel Niwa Tokyo,4.4,"Monday, December 16, 2024",NaN
Hotel Niwa Tokyo,4.4,"Tuesday, December 17, 2024",NaN
Hotel Niwa Tokyo,4.4,"Wednesday, December 18, 2024",NaN
Hotel Niwa Tokyo,4.4,"Thursday, December 19, 2024","6,338"
Hotel Niwa Tokyo,4.4,"Friday, December 20, 2024","7,070"
Hotel Niwa Tokyo,4.4,"Saturday, December 21, 2024","8,899"
Hotel Niwa Tokyo,4.4,"Sunday, December 22, 2024","7,314"
Hotel Niwa Tokyo,4.4,"Monday, December 23, 2024","6,929"
Hotel Niwa Tokyo,4.4,"Tuesday, December 24, 2024","6,933"
Hotel Niwa Tokyo,4.4,"Wednesday, December 25, 2024","6,377"
Hotel Niwa Tokyo,4.4,"Thursday, December 26, 2024","7,104"
Hotel Niwa Tokyo,4.4,"Friday, December 27, 2024","7,100"
Hotel Niwa Tokyo,4.4,"Saturday, December 28, 2024","9,501"
Hotel Niwa Tokyo,4.4,"Sunday, December 29, 2024",11.3K
Hotel Niwa Tokyo,4.4,"Monday, December 30, 2024",11.6K
Hotel Niwa Tokyo,4.4,"Tuesday, December 31, 2024",19.8K
Hotel Niwa Tokyo,4.4,"Wednesday, January 1, 2025","9,872"
Hotel Niwa Tokyo,4.4,"Thursday, January 2, 2025","8,016"
Hotel Niwa Tokyo,4.4,"Friday, January 3, 2025","5,484"
Hotel Niwa Tokyo,4.4,"Saturday, January 4, 2025","4,958"
Hotel Niwa Tokyo,4.4,"Sunday, January 5, 2025","3,514"
Hotel Niwa Tokyo,4.4,"Monday, January 6, 2025","3,514"
Hotel Niwa Tokyo,4.4,"Tuesday, January 7, 2025","3,514"
Hotel Niwa Tokyo,4.4,"Wednesday, January 8, 2025","4,348"
Hotel Niwa Tokyo,4.4,"Thursday, January 9, 2025","3,719"
Hotel Niwa Tokyo,4.4,"Friday, January 10, 2025","3,859"
Hotel Niwa Tokyo,4.4,"Saturday, January 11, 2025","5,120"
Hotel Niwa Tokyo,4.4,"Sunday, January 12, 2025","6,682"
Hotel Niwa Tokyo,4.4,"Monday, January 13, 2025","5,274"
Hotel Niwa Tokyo,4.4,"Tuesday, January 14, 2025","3,684"
Hotel Niwa Tokyo,4.4,"Wednesday, January 15, 2025, departure date.","4,804"
Hotel Niwa Tokyo,4.4,"Thursday, January 16, 2025, return date.",NaN
Hotel Niwa Tokyo,4.4,"Friday, January 17, 2025","4,805"
Hotel Niwa Tokyo,4.4,"Saturday, January 18, 2025","7,505"
Hotel Niwa Tokyo,4.4,"Sunday, January 19, 2025","5,015"
Hotel Niwa Tokyo,4.4,"Monday, January 20, 2025","4,348"
Hotel Niwa Tokyo,4.4,"Tuesday, January 21, 2025","4,487"
Hotel Niwa Tokyo,4.4,"Wednesday, January 22, 2025","6,011"
Hotel Niwa Tokyo,4.4,"Thursday, January 23, 2025","5,221"
Hotel Niwa Tokyo,4.4,"Friday, January 24, 2025","7,116"
Hotel Niwa Tokyo,4.4,"Saturday, January 25, 2025","9,107"
Hotel Niwa Tokyo,4.4,"Sunday, January 26, 2025","6,198"
Hotel Niwa Tokyo,4.4,"Monday, January 27, 2025","6,104"
Hotel Niwa Tokyo,4.4,"Tuesday, January 28, 2025","4,701"
Hotel Niwa Tokyo,4.4,"Wednesday, January 29, 2025","5,484"
Hotel Niwa Tokyo,4.4,"Thursday, January 30, 2025","6,011"
Hotel Niwa Tokyo,4.4,"Friday, January 31, 2025","8,513"
Hotel Niwa Tokyo,4.4,"Saturday, February 1, 2025","8,401"
Hotel Niwa Tokyo,4.4,"Sunday, February 2, 2025","4,864"
Hotel Niwa Tokyo,4.4,"Monday, February 3, 2025","3,897"
Hotel Niwa Tokyo,4.4,"Tuesday, February 4, 2025","4,108"
Hotel Niwa Tokyo,4.4,"Wednesday, February 5, 2025","3,896"
Hotel Niwa Tokyo,4.4,"Thursday, February 6, 2025","5,451"
Hotel Niwa Tokyo,4.4,"Friday, February 7, 2025","4,487"
Hotel Niwa Tokyo,4.4,"Saturday, February 8, 2025","6,574"
Hotel Niwa Tokyo,4.4,"Sunday, February 9, 2025","4,249"
Hotel Niwa Tokyo,4.4,"Monday, February 10, 2025","3,897"
Hotel Niwa Tokyo,4.4,"Tuesday, February 11, 2025","5,027"
Hotel Niwa Tokyo,4.4,"Wednesday, February 12, 2025","4,247"
Hotel Niwa Tokyo,4.4,"Thursday, February 13, 2025","4,487"
Hotel Niwa Tokyo,4.4,"Friday, February 14, 2025","4,713"
Hotel Niwa Tokyo,4.4,"Saturday, February 15, 2025","7,493"
Hotel Niwa Tokyo,4.4,"Sunday, February 16, 2025","4,710"
Hotel Niwa Tokyo,4.4,"Monday, February 17, 2025","3,860"
Hotel Niwa Tokyo,4.4,"Tuesday, February 18, 2025","3,860"
Hotel Niwa Tokyo,4.4,"Wednesday, February 19, 2025","4,530"
Hotel Niwa Tokyo,4.4,"Thursday, February 20, 2025","4,527"
Hotel Niwa Tokyo,4.4,"Friday, February 21, 2025","4,487"
Hotel Niwa Tokyo,4.4,"Saturday, February 22, 2025","5,696"
Hotel Niwa Tokyo,4.4,"Sunday, February 23, 2025","6,338"
Hotel Niwa Tokyo,4.4,"Monday, February 24, 2025","5,412"
Hotel Niwa Tokyo,4.4,"Tuesday, February 25, 2025","5,168"
Hotel Niwa Tokyo,4.4,"Wednesday, February 26, 2025","5,064"
Hotel Niwa Tokyo,4.4,"Thursday, February 27, 2025","4,958"
Hotel Niwa Tokyo,4.4,"Friday, February 28, 2025","4,208"
Hotel Niwa Tokyo,4.4,"Saturday, March 1, 2025","7,074"
Hotel Niwa Tokyo,4.4,"Sunday, March 2, 2025","5,952"
Hotel Niwa Tokyo,4.4,"Monday, March 3, 2025","5,955"
Hotel Niwa Tokyo,4.4,"Tuesday, March 4, 2025","5,952"
Hotel Niwa Tokyo,4.4,"Wednesday, March 5, 2025","5,955"
